years_experience,salary
0.6,22756.0
1.0,38122.0
1.2,40383.0
1.6,39297.0
1.8,39491.0
2.0,30276.0
2.0,38308.0
2.1,42316.0
2.1,38886.0
2.3,39144.0
2.7,43562.0
2.7,41750.0
2.8,49602.0
3.1,38184.0
3.1,49103.0
3.8,48527.0
4.1,59115.0
4.2,55832.0
4.6,52064.0
4.8,60108.0
4.8,54369.0
5.0,50398.0
5.5,60999.0
5.5,64410.0
5.6,53603.0
5.7,56866.0
5.8,60593.0
5.9,58140.0
5.9,53505.0
6.0,52517.0
6.9,66735.0
7.0,63223.0
7.8,71511.0
7.9,63426.0
8.1,73546.0
8.2,66657.0
8.3,67460.0
8.4,73755.0
8.5,72191.0
8.6,71155.0
8.6,72451.0
9.1,80204.0
9.2,81594.0
9.3,82627.0
9.4,73685.0
9.5,84160.0
9.5,77222.0
9.5,70724.0
9.5,82007.0
9.8,85385.0
10.0,75200.0
10.0,79436.0
10.1,80382.0
10.1,77087.0
10.4,73983.0
10.8,82188.0
11.2,87092.0
11.6,92999.0
11.7,93581.0
11.7,94357.0
