hours_studied,prev_score,passed
6.3,31.0,0
9.0,74.0,1
7.8,86.0,1
2.3,66.0,0
3.0,81.0,1
8.7,46.0,1
0.1,44.0,0
8.2,55.0,1
8.0,43.0,0
4.7,54.0,0
3.0,96.0,1
2.8,70.0,0
2.5,54.0,0
4.5,49.0,0
5.0,97.0,1
5.5,61.0,1
10.0,99.0,1
7.9,66.0,1
6.2,66.0,1
9.9,93.0,1
2.2,82.0,1
1.6,71.0,0
6.1,60.0,1
0.4,91.0,0
0.4,59.0,0
5.1,95.0,1
4.7,35.0,0
9.2,60.0,1
6.3,66.0,1
5.1,97.0,1
5.0,48.0,0
2.5,86.0,1
0.1,77.0,0
1.9,80.0,0
6.9,74.0,1
2.0,98.0,0
3.7,53.0,0
0.0,58.0,0
8.3,44.0,1
1.5,34.0,0
2.7,45.0,0
8.8,94.0,1
5.1,89.0,1
8.5,38.0,1
6.4,72.0,1
7.4,64.0,1
0.9,72.0,0
5.4,76.0,1
5.1,51.0,0
8.7,97.0,1
3.6,63.0,0
6.0,74.0,1
0.6,74.0,0
3.9,43.0,0
3.2,34.0,0
1.5,59.0,0
8.2,83.0,1
3.8,87.0,0
9.8,81.0,1
5.9,38.0,0
6.1,94.0,1
6.4,86.0,1
6.8,91.0,1
1.5,67.0,0
4.4,94.0,1
2.4,33.0,0
4.0,32.0,0
1.0,31.0,0
9.7,48.0,1
2.2,47.0,0
6.7,43.0,0
3.0,70.0,0
8.7,33.0,1
6.6,71.0,1
1.3,42.0,0
8.5,77.0,1
9.4,31.0,0
9.0,52.0,1
5.7,96.0,1
1.5,68.0,0
1.9,87.0,0
9.3,76.0,1
5.5,73.0,0
1.8,43.0,0
8.8,70.0,1
6.4,33.0,1
5.7,86.0,1
3.8,97.0,0
4.1,90.0,1
2.4,34.0,0
0.4,54.0,0
8.8,52.0,1
4.7,38.0,0
5.5,74.0,1
3.2,86.0,0
7.5,52.0,1
0.3,90.0,0
3.7,86.0,1
0.3,39.0,0
1.2,84.0,1
9.7,92.0,1
6.6,44.0,1
4.3,70.0,0
5.2,75.0,1
8.7,73.0,1
3.4,37.0,0
5.9,76.0,0
6.8,74.0,1
3.6,88.0,1
5.2,86.0,1
7.7,53.0,1
9.1,81.0,1
1.5,91.0,1
9.3,93.0,1
0.1,41.0,0
7.5,32.0,1
8.1,76.0,1
1.4,45.0,0
4.2,69.0,1
8.2,96.0,1
