weight_g,sweetness_brix,fruit
97.8,1.9,lemon
102.3,3.48,lemon
178.2,12.86,apple
161.2,10.71,orange
199.6,8.91,orange
219.0,10.46,orange
118.5,4.1,lemon
193.0,13.64,apple
145.2,11.22,apple
83.5,2.68,lemon
165.4,13.7,apple
120.8,5.08,lemon
106.9,3.48,lemon
197.2,12.35,apple
105.5,3.84,lemon
189.9,10.21,apple
99.9,4.07,lemon
204.2,14.65,apple
181.2,12.69,apple
116.9,5.29,lemon
189.8,9.18,orange
159.0,11.49,apple
199.3,8.73,orange
111.9,4.71,lemon
208.6,8.68,orange
230.6,11.88,apple
202.1,9.03,orange
126.5,3.81,lemon
115.2,2.77,lemon
168.5,8.75,orange
163.5,8.98,orange
186.6,12.35,apple
122.3,4.03,lemon
176.2,12.55,apple
203.9,14.07,apple
199.2,12.61,apple
191.8,11.58,apple
213.7,7.58,orange
191.1,10.21,orange
84.0,3.01,lemon
107.0,4.38,lemon
113.7,3.89,lemon
106.5,1.72,lemon
180.8,9.57,orange
102.1,2.62,lemon
172.7,7.82,orange
199.6,13.45,apple
202.1,5.53,orange
161.3,8.22,orange
120.2,3.32,lemon
104.3,4.76,lemon
81.2,4.8,lemon
195.7,11.95,apple
206.4,11.82,apple
121.2,3.99,lemon
204.4,12.47,apple
116.0,3.56,lemon
92.1,2.19,lemon
208.3,10.67,apple
173.0,10.68,apple
207.1,11.67,orange
90.7,3.41,lemon
186.8,6.33,orange
119.0,6.07,lemon
202.5,8.41,orange
115.9,2.24,lemon
186.5,10.82,orange
195.6,10.03,orange
190.5,11.37,apple
181.0,13.57,apple
177.0,7.13,orange
187.4,7.65,orange
201.8,8.72,orange
97.4,2.22,lemon
105.5,3.92,lemon
209.9,11.62,apple
130.8,4.83,lemon
178.1,11.99,apple
203.4,9.72,orange
120.3,3.41,lemon
207.9,7.55,orange
191.5,11.26,apple
179.6,12.85,apple
214.4,10.63,apple
188.2,8.91,orange
133.5,4.59,lemon
177.1,13.06,apple
108.6,4.11,lemon
216.7,9.05,orange
149.5,12.9,apple
191.4,8.08,orange
200.4,14.5,apple
82.3,2.98,lemon
198.8,9.72,apple
206.3,9.14,orange
110.5,5.01,lemon
97.8,3.3,lemon
119.2,4.82,lemon
225.3,9.14,orange
180.4,7.74,orange
223.8,8.45,orange
199.6,11.1,apple
115.2,2.85,lemon
212.3,8.71,orange
100.1,3.28,lemon
210.0,8.45,orange
197.0,10.05,orange
118.2,2.75,lemon
183.6,8.66,orange
221.9,10.03,orange
119.4,5.61,lemon
240.5,12.0,orange
171.4,13.2,apple
117.9,3.31,lemon
123.5,5.52,lemon
169.7,5.16,orange
108.0,4.13,lemon
228.2,12.94,apple
203.1,14.53,apple
90.0,2.05,lemon
198.8,12.51,apple
182.4,7.42,orange
194.3,12.18,apple
217.7,8.13,orange
98.8,2.93,lemon
174.0,13.15,apple
122.4,1.93,lemon
209.7,11.37,apple
171.6,13.34,apple
191.4,6.97,orange
204.1,9.51,orange
184.7,13.03,apple
186.1,12.81,apple
130.4,4.28,lemon
194.2,13.81,apple
185.4,9.76,orange
179.0,12.68,apple
107.7,3.97,lemon
184.7,10.43,orange
124.3,3.04,lemon
181.4,8.95,orange
87.6,3.74,lemon
234.0,8.73,orange
98.9,2.06,lemon
173.5,11.19,apple
96.9,2.49,lemon
125.6,3.8,lemon
185.8,13.07,apple
191.1,12.85,orange
115.8,4.2,lemon
109.2,3.4,lemon
182.6,10.91,apple
187.8,7.11,orange
224.6,13.65,apple
178.6,13.49,apple
192.0,12.73,apple
194.6,11.81,apple
192.5,13.26,apple
211.4,7.12,orange
199.9,12.52,apple
128.4,3.06,lemon
188.4,12.26,apple
209.2,8.29,orange
173.4,10.76,apple
103.0,3.2,lemon
229.9,7.59,orange
175.1,11.89,apple
203.7,7.45,orange
229.6,5.15,orange
195.8,12.86,apple
170.3,9.25,orange
209.4,8.46,orange
203.5,8.24,orange
184.7,10.73,apple
222.8,8.33,orange
87.3,4.76,lemon
110.5,3.25,lemon
211.7,8.45,orange
154.1,9.62,orange
158.0,11.66,apple
