cap_cm,spore_density,label
7.8,4.07,edible
9.4,4.53,edible
13.8,6.53,edible
5.3,8.52,poisonous
9.7,3.14,edible
6.7,9.74,poisonous
11.8,4.78,poisonous
9.1,5.94,edible
4.6,0.25,edible
8.7,2.24,edible
5.1,6.07,poisonous
2.6,7.71,poisonous
3.5,3.08,edible
6.5,5.66,edible
2.2,1.86,edible
12.0,0.99,poisonous
12.4,6.32,edible
2.3,5.65,edible
8.8,6.09,poisonous
7.6,1.08,edible
7.2,4.08,edible
2.9,6.09,poisonous
14.2,9.09,edible
5.9,1.87,edible
14.1,8.33,edible
7.2,7.92,poisonous
4.7,0.64,edible
5.3,6.99,poisonous
5.2,9.23,poisonous
12.5,5.79,poisonous
12.8,4.37,poisonous
12.5,6.87,edible
5.5,4.38,edible
5.8,5.45,edible
9.0,7.13,poisonous
11.3,3.17,poisonous
11.2,2.18,poisonous
13.0,3.47,poisonous
11.9,1.83,poisonous
8.7,8.54,poisonous
11.0,4.23,poisonous
11.9,0.39,poisonous
4.5,7.2,edible
14.7,8.79,edible
9.0,7.71,poisonous
10.3,7.21,edible
10.7,3.23,poisonous
11.2,2.28,poisonous
3.1,6.63,poisonous
3.0,4.39,edible
5.9,0.45,edible
3.7,0.65,edible
11.7,4.98,poisonous
8.1,5.96,edible
4.4,4.31,edible
7.2,9.03,poisonous
4.6,0.25,edible
11.7,4.68,poisonous
7.2,1.72,edible
13.1,7.35,edible
11.2,1.83,poisonous
8.0,2.71,edible
9.5,5.76,edible
15.0,7.84,edible
11.4,0.76,poisonous
7.5,3.63,edible
7.1,6.7,poisonous
13.1,3.01,poisonous
10.2,0.89,poisonous
11.0,5.68,poisonous
4.1,4.72,edible
7.8,1.37,edible
2.2,5.54,edible
9.0,5.18,edible
2.3,3.46,edible
10.5,5.83,poisonous
3.9,9.54,edible
3.0,0.27,edible
4.1,7.89,poisonous
7.4,9.49,poisonous
8.4,9.05,poisonous
5.3,2.01,edible
10.1,1.31,poisonous
9.9,8.54,poisonous
4.8,5.74,edible
7.0,6.74,poisonous
14.1,4.59,edible
8.4,5.23,edible
12.6,6.14,edible
10.9,5.58,poisonous
10.5,8.53,edible
13.5,5.98,poisonous
2.6,1.62,edible
9.2,9.8,poisonous
13.6,1.55,poisonous
9.2,8.32,poisonous
2.2,1.23,edible
14.2,3.92,poisonous
11.6,0.52,edible
6.9,7.47,edible
4.4,3.2,edible
2.3,4.04,edible
14.1,1.81,poisonous
12.9,4.93,poisonous
3.7,7.05,poisonous
4.1,5.98,edible
11.2,8.92,edible
3.8,0.53,edible
9.4,5.4,edible
6.7,2.43,edible
9.5,4.09,edible
10.4,5.09,poisonous
5.9,2.4,edible
5.9,7.79,poisonous
4.4,5.19,edible
14.5,0.92,poisonous
7.7,2.24,poisonous
2.8,2.61,edible
8.4,2.65,edible
10.5,6.87,edible
13.6,8.28,edible
6.2,7.82,poisonous
12.2,3.51,edible
10.7,2.93,poisonous
14.1,4.94,poisonous
6.3,9.48,poisonous
4.6,3.38,edible
2.1,9.31,poisonous
9.2,4.45,edible
9.7,8.94,poisonous
7.1,9.71,poisonous
13.6,1.46,poisonous
5.1,3.7,edible
12.5,3.31,poisonous
13.9,6.79,edible
7.7,6.91,poisonous
2.5,4.65,edible
9.5,0.24,edible
10.5,1.06,poisonous
14.3,5.83,poisonous
13.3,6.49,edible
7.9,7.11,poisonous
10.8,3.62,poisonous
4.7,0.28,edible
10.5,3.31,poisonous
12.2,3.06,poisonous
8.8,0.13,edible
6.4,3.15,edible
2.5,9.02,poisonous
7.8,8.22,poisonous
6.2,0.78,edible
13.8,0.66,poisonous
4.6,0.81,edible
2.3,6.33,poisonous
5.9,8.38,poisonous
8.0,5.87,edible
5.5,1.29,edible
11.5,2.39,poisonous
6.2,0.09,edible
4.4,8.16,poisonous
4.5,7.89,edible
12.6,1.13,poisonous
3.6,5.94,edible
10.1,2.18,poisonous
8.5,4.14,edible
5.9,1.44,edible
12.8,4.73,poisonous
10.7,1.81,poisonous
12.8,2.16,poisonous
6.1,3.05,edible
11.7,0.67,poisonous
8.7,7.57,poisonous
11.5,9.83,edible
12.0,6.51,edible
6.6,1.35,edible
9.8,4.06,edible
13.1,5.07,poisonous
3.3,1.73,edible
13.9,8.39,edible
5.7,2.57,poisonous
11.8,7.82,edible
4.4,2.75,edible
14.8,1.77,poisonous
9.2,7.99,edible
2.6,7.23,poisonous
7.2,3.3,edible
10.3,4.14,edible
10.9,7.65,edible
6.4,4.36,edible
14.4,5.12,poisonous
7.4,9.16,poisonous
4.4,3.53,poisonous
12.5,0.08,poisonous
14.2,4.25,poisonous
11.4,5.54,poisonous
5.0,9.91,poisonous
6.0,9.92,poisonous
11.7,1.05,poisonous
2.4,1.92,poisonous
5.7,7.56,poisonous
8.5,7.21,poisonous
4.1,3.16,edible
13.2,6.53,edible
12.6,5.07,poisonous
11.5,3.43,poisonous
6.3,7.32,poisonous
13.3,7.15,edible
12.2,9.01,edible
8.5,8.03,poisonous
4.6,8.6,poisonous
2.8,6.42,poisonous
9.5,1.99,edible
2.8,2.71,edible
9.4,7.22,poisonous
2.3,7.96,poisonous
12.0,4.94,poisonous
13.4,0.77,edible
13.0,5.08,poisonous
13.0,3.45,poisonous
10.8,8.47,edible
12.8,8.61,edible
4.9,5.84,edible
11.5,5.69,poisonous
11.3,9.43,edible
9.1,1.74,edible
8.1,3.65,edible
11.1,4.73,poisonous
2.1,7.34,poisonous
4.5,9.97,edible
6.6,6.8,poisonous
13.6,8.45,edible
8.7,5.45,edible
6.7,6.6,poisonous
6.4,9.81,poisonous
6.6,5.88,edible
14.1,2.76,poisonous
2.6,0.0,edible
7.2,6.98,poisonous
13.2,4.4,edible
13.4,2.74,poisonous
2.5,2.12,edible
6.2,9.0,poisonous
2.6,5.3,edible
6.1,6.28,poisonous
6.6,9.95,edible
4.3,0.2,poisonous
14.7,2.24,poisonous
2.3,2.36,edible
5.0,5.85,edible
10.5,1.62,edible
8.5,6.73,poisonous
9.7,0.44,edible
2.3,8.23,poisonous
6.6,0.56,edible
8.7,2.15,edible
3.0,6.17,poisonous
6.1,2.17,edible
8.9,8.24,poisonous
7.9,4.43,edible
9.0,2.55,poisonous
4.1,9.28,poisonous
9.3,1.78,poisonous
12.8,9.19,edible
4.8,3.33,edible
8.2,3.04,edible
6.0,0.01,edible
4.6,9.09,poisonous
14.3,6.2,edible
7.2,4.71,edible
2.1,6.81,poisonous
5.2,3.43,edible
3.8,1.8,edible
4.2,4.02,edible
7.6,1.72,edible
7.0,4.45,edible
10.2,5.59,poisonous
11.5,2.02,poisonous
5.5,5.66,edible
4.5,2.93,poisonous
5.7,2.41,edible
6.8,9.69,poisonous
5.4,9.59,poisonous
5.6,5.7,edible
14.1,4.45,poisonous
3.2,2.45,poisonous
12.4,5.98,poisonous
7.9,7.02,poisonous
9.5,3.28,edible
12.6,6.91,edible
7.9,9.14,poisonous
13.1,4.32,poisonous
5.5,9.93,poisonous
10.6,2.25,poisonous
2.7,4.18,poisonous
7.6,4.69,edible
4.6,0.21,poisonous
12.1,5.78,poisonous
12.6,7.76,edible
13.2,7.43,edible
8.8,5.54,edible
