temperature_c,vibration_mm_s,label
231.3,7.15,fail
188.4,3.42,pass
219.3,7.41,fail
186.9,6.63,fail
239.4,5.03,fail
201.3,4.2,pass
191.3,5.27,pass
162.6,5.13,pass
208.7,6.48,fail
209.2,2.81,pass
183.1,2.04,pass
170.9,2.68,pass
179.1,5.18,pass
230.1,6.17,fail
215.7,7.41,fail
180.7,3.87,pass
200.1,3.11,pass
205.3,3.38,pass
223.2,6.39,fail
191.5,2.73,pass
190.3,2.29,pass
168.8,1.91,pass
206.0,2.79,pass
224.0,6.1,fail
203.7,7.9,fail
216.2,5.73,fail
162.7,3.09,pass
177.8,3.49,pass
198.0,1.62,pass
204.8,7.15,fail
219.0,6.73,fail
220.3,2.71,pass
211.6,1.98,pass
165.7,2.58,pass
166.8,2.95,pass
184.5,1.9,pass
189.3,5.43,fail
212.9,6.38,fail
219.7,5.83,fail
184.7,2.35,pass
201.7,6.34,fail
213.1,6.81,fail
198.5,6.58,fail
226.8,5.54,fail
206.2,7.4,fail
226.4,7.47,fail
167.2,5.39,pass
214.6,5.09,fail
214.6,6.42,fail
185.7,0.48,pass
214.3,6.59,fail
189.8,6.01,fail
207.8,3.82,pass
216.6,6.35,fail
162.9,3.58,pass
180.9,1.56,pass
182.7,2.36,pass
196.3,2.0,pass
213.8,6.18,fail
219.9,7.33,fail
202.8,2.9,pass
193.2,4.46,fail
189.3,2.05,pass
214.2,4.2,pass
223.7,6.42,fail
156.4,3.82,pass
239.9,4.79,fail
196.8,6.19,fail
211.2,5.74,fail
198.1,5.35,fail
191.3,6.23,fail
241.4,4.96,fail
211.3,4.49,fail
207.5,3.11,pass
143.3,2.43,pass
212.9,7.98,fail
213.3,6.37,fail
243.1,6.66,fail
223.6,5.78,fail
220.5,4.35,fail
224.8,5.79,fail
181.8,4.06,pass
224.5,4.61,fail
222.2,6.32,fail
162.1,5.85,pass
196.8,3.13,pass
190.1,4.0,pass
233.0,6.27,fail
211.8,1.04,pass
196.8,6.19,fail
194.5,3.46,pass
219.4,7.45,fail
231.5,5.86,fail
177.4,6.39,fail
188.3,5.43,pass
209.4,2.53,pass
210.5,6.2,fail
185.6,2.46,pass
167.1,1.16,pass
209.1,6.47,fail
201.0,5.97,fail
219.9,6.46,fail
237.2,6.6,fail
185.9,6.22,fail
194.1,1.78,pass
205.4,4.09,fail
180.4,2.6,pass
190.7,4.81,pass
200.5,2.23,pass
226.0,5.0,fail
169.4,4.08,pass
216.3,2.58,pass
209.5,4.49,fail
213.2,7.27,fail
183.4,1.72,pass
224.1,5.59,fail
214.4,6.25,fail
199.5,7.13,fail
206.7,5.88,fail
200.6,2.19,pass
182.6,3.69,pass
183.7,2.71,pass
166.9,3.81,pass
207.5,2.93,pass
234.1,7.71,fail
205.9,6.32,fail
210.4,6.03,fail
209.4,6.33,fail
159.5,3.36,pass
156.1,2.53,pass
201.3,2.7,pass
217.2,5.76,fail
183.6,3.92,pass
200.8,3.12,pass
180.0,3.86,pass
192.0,4.33,pass
175.7,4.03,pass
202.8,1.25,pass
201.1,2.68,pass
218.0,7.09,fail
174.3,4.11,pass
242.8,7.58,fail
203.1,4.41,pass
203.0,3.46,pass
195.1,5.21,fail
155.0,5.26,pass
173.4,2.52,pass
229.0,7.59,fail
191.0,6.42,fail
196.9,0.06,pass
220.6,6.27,fail
244.4,5.96,fail
210.6,6.38,fail
219.0,6.35,fail
229.7,4.97,fail
226.9,6.48,fail
205.1,4.36,pass
187.2,2.65,pass
225.8,6.86,fail
232.0,5.36,fail
190.3,3.59,pass
191.3,1.89,pass
207.4,4.16,pass
228.8,6.52,fail
224.8,5.85,fail
214.3,6.0,fail
191.6,2.96,pass
162.2,4.79,pass
220.8,4.07,pass
182.1,3.71,pass
226.2,5.26,fail
200.8,4.34,pass
199.6,4.41,pass
215.3,1.7,pass
222.2,5.36,fail
173.0,2.0,pass
211.1,6.38,fail
207.5,6.57,fail
167.6,4.3,pass
223.1,6.77,fail
209.3,3.67,fail
187.3,1.85,pass
242.7,5.95,fail
210.1,6.1,fail
198.3,5.1,fail
171.1,2.72,pass
192.5,3.95,pass
154.2,2.72,pass
206.8,5.62,fail
198.7,3.43,pass
202.6,5.2,fail
232.1,7.87,fail
168.6,3.46,pass
184.2,7.75,fail
188.1,4.11,pass
194.2,3.35,pass
176.2,3.88,pass
201.2,4.85,pass
164.8,2.13,pass
197.2,5.89,fail
