hour,rentals
0.0,67.0
0.05,65.0
0.21,51.0
0.28,44.0
0.36,19.0
0.53,32.0
0.95,46.0
1.25,20.0
1.38,22.0
1.6,23.0
1.63,46.0
1.7,26.0
1.72,53.0
1.73,28.0
1.75,23.0
1.77,40.0
1.9,46.0
1.93,53.0
2.02,7.0
2.08,44.0
2.18,44.0
2.22,28.0
2.46,59.0
2.47,69.0
2.59,20.0
2.63,59.0
2.75,75.0
2.89,27.0
2.9,7.0
3.06,63.0
3.31,48.0
3.39,42.0
3.43,118.0
3.46,72.0
3.47,36.0
3.69,60.0
3.83,62.0
3.91,67.0
3.94,57.0
4.14,-2.0
4.19,47.0
4.2,47.0
4.29,67.0
4.44,49.0
4.5,39.0
4.52,127.0
4.58,60.0
4.65,79.0
4.73,43.0
4.8,53.0
4.83,-3.0
4.84,50.0
4.96,53.0
5.13,34.0
5.31,64.0
5.36,99.0
5.39,42.0
5.4,53.0
5.49,65.0
5.51,45.0
5.8,90.0
5.84,70.0
5.91,36.0
5.93,88.0
6.09,65.0
6.27,115.0
6.3,77.0
6.32,113.0
6.44,86.0
6.47,131.0
6.5,120.0
6.59,136.0
6.68,147.0
7.09,172.0
7.09,161.0
7.28,183.0
7.29,197.0
7.76,260.0
7.86,262.0
7.93,265.0
8.01,304.0
8.06,303.0
8.16,283.0
8.18,286.0
8.28,256.0
8.37,315.0
8.62,333.0
8.9,252.0
9.24,293.0
9.34,243.0
9.42,219.0
9.53,228.0
9.54,213.0
9.72,205.0
9.83,190.0
9.89,169.0
10.05,168.0
10.26,127.0
10.27,103.0
10.43,107.0
10.45,103.0
10.5,133.0
10.5,109.0
10.68,111.0
11.0,68.0
11.02,108.0
11.03,103.0
11.04,60.0
11.09,80.0
11.16,94.0
11.17,83.0
11.26,100.0
11.26,87.0
11.27,59.0
11.34,84.0
11.53,48.0
11.56,43.0
11.58,50.0
11.64,82.0
11.71,21.0
11.76,39.0
11.81,83.0
11.91,84.0
12.0,17.0
12.17,8.0
12.22,51.0
12.25,50.0
12.51,54.0
12.54,71.0
12.61,37.0
12.71,19.0
13.04,48.0
13.19,47.0
13.4,69.0
13.46,37.0
13.78,23.0
13.95,37.0
14.09,39.0
14.23,33.0
14.26,121.0
14.31,85.0
14.32,57.0
14.42,52.0
14.45,69.0
14.6,161.0
14.91,89.0
14.98,158.0
15.04,96.0
15.29,133.0
15.34,201.0
15.38,151.0
15.44,225.0
15.57,163.0
15.74,204.0
15.85,210.0
15.93,253.0
15.96,269.0
16.01,259.0
16.02,250.0
16.45,297.0
16.47,381.0
16.59,327.0
16.63,300.0
16.67,325.0
16.72,283.0
17.0,377.0
17.14,321.0
17.43,351.0
17.45,352.0
17.49,360.0
17.53,372.0
17.56,392.0
17.65,372.0
17.67,331.0
17.77,334.0
17.97,341.0
17.98,362.0
17.99,348.0
17.99,341.0
18.03,339.0
18.15,323.0
18.2,341.0
18.33,312.0
18.35,319.0
18.44,295.0
18.46,339.0
18.48,277.0
18.79,265.0
19.0,227.0
19.18,179.0
19.35,229.0
19.37,245.0
19.38,183.0
19.4,211.0
19.44,162.0
19.6,147.0
19.73,146.0
19.79,195.0
19.91,118.0
19.96,148.0
20.03,129.0
20.07,136.0
20.34,89.0
20.35,84.0
20.38,102.0
20.39,138.0
20.48,49.0
20.59,135.0
20.65,68.0
20.77,89.0
20.78,82.0
21.0,130.0
21.18,14.0
21.25,-2.0
21.3,40.0
21.34,12.0
21.66,24.0
21.76,92.0
21.81,47.0
21.83,25.0
22.02,23.0
22.14,15.0
22.17,38.0
22.18,46.0
22.43,14.0
22.49,33.0
22.64,42.0
22.79,48.0
23.16,43.0
23.21,-3.0
23.26,21.0
23.27,21.0
23.29,59.0
23.36,46.0
23.48,2.0
23.54,42.0
23.56,74.0
23.59,56.0
23.64,58.0
23.76,99.0
