annual_income_k,spending_score,visits_per_month,avg_basket,online_ratio,age
112.1,36.9,8.3,76.4,0.299,49.0
46.1,96.9,14.64,42.2,0.919,24.3
87.0,34.5,5.65,67.5,0.25,49.1
21.0,25.8,2.58,8.7,0.435,36.2
45.8,85.0,12.02,39.7,0.8,31.0
56.6,103.2,15.06,44.4,0.886,28.8
21.3,24.6,1.27,16.5,0.389,38.9
18.0,20.9,1.89,18.9,0.322,39.3
75.3,44.4,7.39,57.1,0.359,46.0
21.3,12.7,-0.87,19.2,0.364,45.0
79.6,66.9,11.99,58.0,0.567,40.3
26.3,107.0,14.62,33.0,0.971,20.8
109.2,94.7,17.74,87.2,0.892,35.9
100.9,33.8,6.21,75.2,0.248,52.6
24.1,12.1,0.13,18.6,0.357,42.0
50.4,85.3,10.42,43.1,0.742,31.2
28.4,25.1,2.58,14.7,0.405,40.2
9.3,24.4,2.43,15.8,0.431,35.0
23.1,37.2,4.52,13.7,0.47,31.0
75.7,34.3,6.04,49.2,0.393,47.2
107.3,56.0,10.36,80.1,0.479,42.5
114.1,65.4,12.49,77.7,0.447,43.7
29.9,30.3,2.65,24.3,0.391,40.5
17.2,24.7,2.14,12.9,0.337,40.1
101.3,36.7,6.77,74.1,0.37,52.8
105.9,34.4,6.6,77.3,0.3,55.4
51.6,69.5,11.26,41.4,0.639,30.1
47.0,85.6,14.24,42.5,0.715,33.1
40.6,27.5,3.01,30.5,0.308,46.9
107.5,82.3,15.14,78.8,0.744,40.5
108.7,86.5,16.54,79.8,0.74,37.8
97.0,21.3,5.39,64.8,0.33,48.7
30.7,86.7,14.14,37.9,0.832,22.9
109.5,78.6,14.73,88.4,0.587,43.5
28.7,28.4,1.12,24.7,0.274,43.0
101.7,88.1,15.17,81.1,0.722,37.0
88.9,25.1,5.72,59.4,0.318,54.8
116.8,35.3,7.63,71.3,0.251,53.5
96.8,71.8,12.9,72.8,0.608,43.7
51.2,77.8,9.86,49.2,0.592,32.9
23.1,26.9,3.35,22.7,0.32,38.9
48.2,76.3,13.36,37.3,0.779,33.9
76.6,25.7,4.57,50.2,0.301,50.0
24.6,35.3,2.39,21.1,0.385,39.0
100.5,41.1,9.28,78.7,0.416,49.7
117.5,76.6,13.61,87.0,0.597,38.7
97.5,31.2,7.29,68.9,0.369,45.1
113.5,98.0,16.42,88.3,0.685,36.2
14.1,18.8,0.39,4.1,0.224,43.3
20.3,30.8,4.79,13.2,0.425,35.0
93.3,88.3,14.81,74.9,0.654,36.7
96.2,74.3,13.27,73.2,0.631,41.0
34.5,79.6,10.9,30.3,0.783,30.3
46.2,74.1,8.79,36.3,0.682,32.5
85.4,22.0,2.79,59.9,0.264,53.4
54.6,74.3,10.76,36.4,0.677,34.3
41.1,102.1,16.09,31.4,0.825,27.8
107.5,47.6,9.67,78.7,0.352,49.6
30.9,77.2,12.16,32.1,0.759,25.2
113.6,83.1,14.71,82.6,0.737,44.2
65.0,87.7,14.45,48.6,0.835,28.2
97.6,26.7,6.24,66.3,0.192,51.8
125.6,90.2,16.74,99.5,0.624,35.5
25.3,27.8,2.51,16.7,0.366,37.1
35.8,75.2,12.71,28.6,0.695,28.2
98.5,42.0,9.13,73.4,0.356,47.7
21.4,69.3,10.38,21.2,0.701,27.0
108.4,88.4,16.33,81.6,0.706,41.1
96.7,46.6,9.2,65.2,0.467,48.5
42.1,84.7,11.98,41.2,0.856,29.6
101.0,73.5,13.24,80.0,0.602,43.0
73.5,14.7,3.07,57.4,0.218,49.3
19.9,19.4,1.92,13.8,0.338,45.5
104.9,80.9,16.68,84.3,0.621,42.1
104.1,87.5,15.25,79.2,0.646,40.6
108.4,79.5,14.84,82.5,0.686,41.5
91.6,15.9,1.99,64.3,0.223,49.4
9.5,22.0,0.19,7.1,0.408,35.1
8.1,15.8,-0.51,1.7,0.326,39.7
44.8,79.8,11.24,35.5,0.779,33.2
101.5,88.1,15.22,79.5,0.683,39.2
106.5,24.5,6.29,68.3,0.405,49.4
26.2,34.1,2.83,17.6,0.422,41.2
59.8,81.6,12.49,44.7,0.767,35.8
83.4,77.4,11.26,60.2,0.598,40.9
82.1,76.6,13.85,63.9,0.51,39.2
23.4,18.4,1.81,16.1,0.353,41.1
93.0,45.3,9.08,61.7,0.384,45.5
39.8,83.0,14.55,35.4,0.89,32.0
49.5,76.6,12.76,32.2,0.834,34.0
96.4,61.6,13.54,75.5,0.572,43.1
45.5,71.5,11.0,44.7,0.597,32.2
108.7,45.3,10.04,74.0,0.436,48.9
