x1,x2,label
-0.6686,0.8673,A
0.4128,0.869,A
-0.0381,0.9651,A
2.0091,0.2645,B
1.2583,0.0715,A
1.862,-0.1169,B
2.1477,0.3013,B
0.6581,0.6991,A
0.8173,-0.5011,B
-0.4248,1.0103,A
0.2051,1.0593,A
2.0764,-0.089,B
0.3707,-0.4393,B
0.6195,0.9462,A
-0.0202,0.8802,A
2.0121,0.3625,B
-0.8654,0.1709,A
0.3106,-0.3773,B
0.0534,0.0337,B
-1.0865,0.2365,A
1.537,-0.4393,B
0.955,0.4592,A
0.1876,-0.0592,B
0.4032,1.0593,A
0.2759,0.5141,B
1.1745,-0.5221,B
1.0819,0.2247,A
2.0945,0.2572,B
-0.4713,0.8751,A
0.0833,1.0489,A
0.3077,-0.1197,B
-0.4967,0.812,A
1.7162,-0.1982,B
1.3562,-0.4924,B
0.087,0.2341,B
2.1286,0.1685,B
-0.5347,0.8231,A
0.8629,0.3049,A
-0.8372,0.0198,A
-0.2567,0.9175,A
0.4909,-0.4897,B
1.0026,-0.523,B
0.2248,-0.1339,B
0.3904,-0.409,B
0.448,-0.3024,B
0.2587,0.1386,B
0.1258,0.2433,B
0.7022,0.5245,A
0.9355,0.4057,A
1.0392,0.2681,A
1.7893,0.4097,B
-0.2997,1.0127,A
-0.7874,0.7233,A
1.2914,0.1516,A
0.2577,0.9155,A
1.519,-0.378,B
1.9327,-0.0048,B
1.4536,-0.6555,B
1.6931,-0.2159,B
0.1125,0.4863,B
-0.8903,0.3772,A
0.145,0.0109,B
-0.3201,0.8775,A
1.068,0.0745,A
0.5487,-0.6298,B
2.0142,0.1465,B
0.5247,0.9343,A
1.5474,-0.4683,B
-1.1495,0.1414,A
-0.7516,0.7332,A
0.648,0.5166,A
0.1909,-0.1525,B
1.9791,0.5245,B
1.7649,-0.2541,B
0.4939,0.6738,A
0.0318,0.0619,B
0.5246,0.4116,A
0.4429,0.8954,A
1.5268,-0.1406,B
0.8592,-0.3677,B
-0.4843,0.7605,A
0.8869,0.1212,A
0.8431,0.2355,A
-0.2568,1.0078,A
1.94,0.0074,B
0.0935,0.1538,B
0.4481,0.6712,A
0.5109,0.8333,A
1.7099,0.0847,B
1.2575,-0.3231,B
0.866,-0.2912,B
1.2958,-0.3875,B
0.4892,-0.4007,B
0.671,0.7189,A
-0.4928,0.676,A
0.1713,-0.4311,B
-0.9913,0.0353,A
1.5554,-0.3875,B
0.0891,1.0011,A
1.4801,-0.4886,B
0.9936,0.2494,A
0.974,-0.5962,B
1.8944,-0.1662,B
0.4571,0.9315,A
-1.103,-0.1867,A
1.083,0.0241,A
-0.0324,1.1862,A
0.9549,0.5705,A
-0.5909,0.9058,A
0.7728,0.3813,A
-0.9818,0.1376,A
0.9527,-0.4115,B
-0.5606,0.7477,A
0.4094,-0.5593,B
1.2266,-0.3764,B
0.5139,0.8875,A
-0.9911,0.3948,A
-0.6908,0.6677,A
0.7722,0.067,A
1.0897,-0.5581,B
1.8831,0.157,B
-0.9778,0.5378,A
1.5009,-0.3797,B
-0.0992,1.0618,A
0.9593,0.364,A
0.0378,1.0611,A
0.7821,-0.5434,B
0.8914,-0.5411,B
-0.0352,1.1003,A
1.3694,-0.3486,B
0.0661,0.8563,A
1.4502,-0.3087,B
1.9756,0.2029,B
-0.7514,0.6076,A
0.7791,0.5711,A
-0.7364,0.3914,A
0.5506,-0.5415,B
0.897,-0.4988,B
1.601,-0.377,B
-0.5289,0.7639,A
0.4048,-0.3612,B
1.0016,0.5091,A
0.851,-0.5034,B
0.8968,0.4645,A
1.1346,0.3165,A
-0.3128,0.913,A
0.7776,-0.2658,B
1.6874,-0.1671,B
0.2897,-0.1983,B
1.9344,0.4669,B
1.7577,-0.2729,B
-0.1494,1.0032,A
0.5608,-0.3779,B
-0.3203,0.9051,A
1.3982,-0.5584,B
1.6817,-0.3747,B
0.8931,0.4047,A
-0.8735,0.1696,A
1.1576,-0.5492,B
0.2601,1.1061,A
-0.8649,0.0075,A
-0.8763,0.0535,A
0.7342,0.7381,A
0.3788,0.7927,A
-0.0082,0.3449,B
0.2773,-0.1396,B
0.1746,0.1035,B
0.9426,0.4222,A
0.0171,0.4867,B
0.5142,0.9546,A
0.9747,-0.5414,B
0.6085,0.7076,A
1.0392,-0.0058,A
1.9654,0.0254,B
1.0831,-0.4293,B
0.7249,0.8273,A
1.065,0.436,A
0.4724,-0.2055,B
0.8616,0.3049,A
1.7807,-0.015,B
-0.5847,0.6363,A
0.9189,0.5658,A
-0.0891,0.9778,A
1.8558,0.1756,B
-0.4945,0.6307,A
-0.7017,0.5388,A
0.565,0.4248,A
1.3558,-0.4299,B
1.2007,-0.5903,B
-0.8644,0.3828,A
0.7174,-0.4161,B
0.3371,0.8989,A
1.1302,-0.521,B
-0.7703,0.5299,A
-0.2825,0.8915,A
1.0244,0.5016,A
-0.3951,0.9175,A
1.4575,-0.5858,B
-0.8497,0.6104,A
-0.2588,1.0452,A
1.0477,-0.3217,B
0.4531,1.0326,A
0.6499,-0.6436,B
1.1097,-0.426,B
-0.9031,0.4104,A
2.0799,0.4242,B
0.559,0.7312,A
1.7124,-0.1031,B
1.9208,0.2964,B
1.324,-0.4338,B
0.8926,-0.3329,B
0.852,-0.45,B
0.1931,-0.1354,B
0.0131,0.9278,A
0.2462,1.0551,A
0.5973,-0.4006,B
1.0669,-0.649,B
0.2134,0.2402,B
0.7126,0.4303,A
-0.6011,0.7703,A
0.852,0.6333,A
-0.496,0.8757,A
1.7888,-0.0826,B
-0.5412,0.7178,A
0.4112,0.6385,A
1.5336,-0.3588,B
-0.6414,0.6629,A
1.957,0.0939,B
1.1374,-0.5242,B
1.0798,0.1286,A
1.8696,0.101,B
0.5124,0.7097,A
1.8201,-0.2192,B
1.4298,-0.4335,B
-0.3212,0.7877,A
1.3639,-0.3012,B
0.1666,1.059,A
1.6581,-0.6136,B
0.7644,-0.4895,B
0.7248,-0.2433,B
-0.9392,0.4346,A
-0.5255,0.739,A
0.7014,-0.5493,B
1.7008,-0.1357,B
-0.1729,1.0411,A
1.9345,-0.1315,B
-1.1365,-0.0399,A
-0.3377,0.9492,A
-0.662,1.0009,A
1.7626,-0.4566,B
0.3132,-0.4059,B
0.8739,0.4809,A
0.59,-0.7158,B
1.3264,-0.5598,B
-0.5321,0.9722,A
-0.9889,0.3862,A
0.9736,-0.4474,B
0.0433,0.3724,B
-0.0787,0.5405,B
0.0684,0.2264,B
0.7201,0.4204,A
0.4116,-0.1131,B
-0.8019,0.6861,A
0.2994,0.275,B
1.0222,-0.3885,B
0.9465,-0.0196,A
1.5776,-0.296,B
1.8809,0.3137,B
-0.7155,0.6067,A
0.6242,-0.5431,B
-0.0531,0.8813,A
0.2563,-0.2565,B
0.1936,-0.1255,B
0.1532,1.1003,A
0.0944,0.0644,B
-0.8956,0.3673,A
-0.9159,0.5986,A
-0.8069,0.6204,A
1.1128,-0.5886,B
-0.0873,1.0412,A
0.9198,0.0294,A
-0.484,0.8702,A
-0.1243,0.9991,A
1.5906,-0.2793,B
1.273,-0.4933,B
-0.7857,0.1549,A
0.0553,0.3265,B
0.1273,0.2423,B
1.8622,0.1769,B
1.9104,0.0876,B
0.9616,0.4203,A
0.7052,0.556,A
-0.791,0.803,A
0.851,-0.4625,B
1.0041,-0.5034,B
1.6847,-0.3805,B
-0.5205,0.6959,A
2.1035,0.2889,B
0.0823,-0.0507,B
-0.7303,0.6379,A
