bits,parity
011100110010,0
010011001111,1
100100001000,1
101001000001,0
110101101001,1
010001010111,0
001110000111,0
011001111111,1
001101111011,0
000001111100,1
101011010110,1
001111111000,1
011011100101,1
110101001110,1
110011000010,1
011010101010,0
100110011100,0
110101001110,1
110000001011,1
011000000110,0
010111100010,0
000000001011,1
011101111101,1
110110001000,1
110110111110,1
010010111011,1
101010011011,1
011111100011,0
100111101110,0
001100001110,1
111010010010,0
010001010111,0
001100000010,1
100001001111,0
010101000110,1
101101110111,1
101001011001,0
101110111000,1
000010110011,1
010101110110,1
001000110010,0
101011110100,1
001100000000,0
000000110010,1
111000111110,0
100000010010,1
110110001010,0
111100111101,1
011110100001,0
011100110010,0
100101100011,0
010011101011,1
110010110101,1
000010101100,0
000001000000,1
001101000001,0
011011011001,1
001000010001,1
100110110110,1
000010011000,1
111001010101,1
000000011001,1
100011001001,1
011110011101,0
001010011010,1
000110111010,0
010000100111,1
111001101011,0
000011101100,1
101011010110,1
010000110001,0
001011100010,1
000101011100,1
000000111110,1
010110111110,0
000100010010,1
010110101100,0
100100111101,1
111111000101,0
111101100010,1
011000001011,1
001010111001,0
100111011110,0
011110100001,0
001010111010,0
001001001101,1
111110000001,0
000001000110,1
001100110100,1
101101111001,0
111101011111,0
010110101111,0
100100110010,1
000000100001,0
110011111000,1
001100110110,0
110011001110,1
011101011111,1
010001001000,1
111001100000,1
001011011000,1
000011100111,0
110101011100,1
001101000010,0
011010100111,1
001101100111,1
100010010101,1
001001101011,0
111101000000,1
000100111110,0
111111001111,0
101001100011,0
000010010101,0
100111111011,1
100001110110,0
101111110011,1
100010011110,0
101110100001,0
101011100110,1
100010001101,1
101111001111,1
100011110011,1
110010001000,0
111101101111,0
001111100101,1
011100010100,1
010001110100,1
000110001101,1
100110011100,0
100011011011,1
100010011100,1
101100000001,0
010011010001,1
111110101101,1
110001010000,0
111111100010,0
101110000001,1
110011001111,0
000111110101,1
111110101010,0
100001000011,0
110100011110,1
101100001010,1
101010000000,1
100100110110,0
101110001111,0
101011010001,0
111110101111,0
111101101111,0
111110110010,0
100110110000,1
111111111000,1
100110100010,1
111000110101,1
100000110111,0
111101110110,1
111001000001,1
101100101111,0
101111110110,1
101111111000,0
010001001100,0
100100001111,0
010011000011,1
111000001100,1
000110011100,1
001110000001,0
010001111101,1
110110101110,0
010001010010,0
000011011111,1
100100001110,1
100110000110,1
010010100011,1
110001000110,1
010111101000,0
111101001111,1
110010010001,1
110111101010,0
000001100010,1
001101001000,0
010101110111,0
101011110011,0
011001100000,0
010101111001,1
000011110111,1
110111011001,0
001110011000,1
001000100111,1
001000111100,1
010100010011,1
011001111110,0
011001010010,1
000110000111,1
101011100101,1
101000001101,1
111010010111,0
110111100001,1
111011010010,1
110100110101,1
011000011111,1
001000110011,1
010111000001,1
001010111110,1
101100101010,0
101111111111,1
100111000100,1
111111111101,1
110111101110,1
101011100101,1
110110011100,1
000001001110,0
000110100010,0
000000000010,1
000010111110,0
000000100111,0
110101110100,1
100001010001,0
111001011000,0
101010100001,1
011111010101,0
100000101011,1
010110001000,0
011001000000,1
110111010001,1
111000001111,1
110111101110,1
010010010111,0
000000100000,1
011000000101,0
110010111101,0
001000010011,0
100000000011,1
100011111011,0
110010010110,0
110011011010,1
101110011111,1
100110000110,1
110011010010,0
010110010000,0
111011100101,0
100100100001,0
000000110000,0
110001001110,0
100001011101,0
100100101011,0
001111010011,1
010011111011,0
000001110000,1
111100010101,1
110111111001,1
111101111100,1
100000101001,0
010000111010,1
110100110011,1
110111011001,0
101100011000,1
101101100001,0
001110011111,0
000000110000,0
101011101011,0
111011010101,0
100110101011,1
110100111001,1
011111011000,1
110101110011,0
100001001111,0
001001001000,1
100110110011,1
001000101011,1
110010100010,1
100010101100,1
111011010111,1
011101101000,0
010010011111,1
010110111110,0
100100110001,1
010100110011,0
101001100001,1
011000011101,0
000100110000,1
000111101110,1
011000101010,1
111011001001,1
001000000001,0
101011100101,1
110100100000,0
100100101110,0
111010001010,0
111010100101,1
011010110001,0
010111111110,1
100100011010,1
000000110100,1
011111100011,0
011110100000,1
010011101111,0
001101000100,0
010000001101,0
100101010000,0
110111001100,1
110001101110,1
100101010001,1
011000011001,1
110101101011,0
110100100110,0
000010010011,0
011110110000,0
100111011111,1
110010100011,0
000000111110,1
011011000101,0
100100000101,0
101001001100,1
010011110100,0
010110110101,1
100001100001,0
101111000001,0
010011000100,0
011110111010,0
110111110110,1
101000101011,0
100101010010,1
001101100101,0
111100100010,0
110001010001,1
010001000010,1
011010111111,1
010010001111,0
010001110110,0
000111100000,0
110111000110,1
110101000000,0
110101000011,0
010000000000,1
100100100011,1
111011110110,1
000001010100,1
000111101111,0
010000001101,0
110110100011,1
010110110011,1
100100000100,1
100010001110,1
110001001011,0
000100010100,1
011000101111,1
010010011010,1
000001101110,1
110011001101,1
011110010010,0
100010101111,1
000011010010,0
101010101110,1
001010100001,0
011111011111,0
101111010001,1
001010000101,0
001000000100,0
000000001001,0
101011010110,1
000010101001,0
101010010101,0
101101111111,0
101100110101,1
101011001000,1
011111111111,1
011100010111,1
011010111001,1
101101001101,1
000101010010,0
100010101000,0
000000101110,0
010111111111,0
000010010010,1
001111110100,1
110010011101,1
111010111111,0
100101101111,0
110101100101,1
001000110100,0
101101100110,1
101010010001,1
111110100000,0
110001011101,1
010010101010,1
000000000010,1
001000100101,0
111111101110,0
010001011000,0
101010001010,1
010000111111,1
010101100110,0
110001001000,0
001110101010,0
000111010000,0
101100000111,0
011011001000,1
111000010010,1
100100000011,0
000101110110,0
111010000100,1
111101001010,1
000100111100,1
110011000111,1
010000110100,0
111110111100,1
110100001001,1
011000100101,1
010000000001,0
100101100001,1
101010001001,1
001000010010,1
110011100010,0
001110101111,0
111000011010,0
010010110110,0
001101001001,1
001101110100,0
100110011010,0
111110101110,1
101100111000,0
101001111010,1
001100000110,0
000111000010,0
111111000110,0
111011010011,0
011101001010,0
100011001011,0
011010111010,1
011101001110,1
110101111100,0
010001110101,0
110011001011,1
000010010111,1
010010001100,0
111111111100,0
101000100011,1
010000100010,1
100100010101,1
010011001001,1
010000000000,1
111011000011,1
101110100111,0
010101001000,0
001111011110,0
111011011001,0
110100111100,1
000001101110,1
101011110110,0
000111010110,0
001001111101,1
100100011011,0
001000011011,1
000111001111,1
101001010011,0
010111010111,0
101010000000,1
000010101111,0
010101110011,1
000011100111,0
101001000101,1
111001101111,1
001010001010,0
111111111100,0
000010110110,1
110000111011,1
001000101100,0
101110010011,1
011110000100,1
011001110001,0
010010001011,1
101010010000,0
001000000010,0
110101110100,1
001100100001,0
011000100010,0
011111110001,0
101110000110,0
101010110001,0
110010110100,0
000001111001,1
101110011001,1
100001100011,1
101111011111,0
001101101101,1
001000001100,1
000011110111,1
110111101001,0
110111011001,0
000110000100,1
100111101111,1
111001100011,1
111000000010,0
000011010000,1
000010010101,0
101101000100,1
001001010100,0
001111111010,0
011011010101,1
101011010010,0
101100011110,1
111100101101,0
011101101101,0
000000111101,1
001100111000,1
010101010100,1
001101101001,0
111110100101,0
010111000110,0
110100100000,0
110011001111,0
111111010001,0
001111001001,0
001111111011,1
011100000011,1
100010110111,1
100011101100,0
101100000100,0
000011110011,0
101111001110,0
110111000101,1
100000001100,1
101100011111,0
100010001010,0
000111111101,0
110000000010,1
000000100010,0
001001101010,1
011110000110,0
110101110010,1
110010100100,1
110001011101,1
000111000101,1
100100011001,1
000011111101,1
100111000101,0
000100000110,1
011001101000,1
111110000101,1
100000100110,0
011001101010,0
010110000011,1
000110101101,0
000100011101,1
000101011000,0
011000011101,0
000010001111,1
001111101111,1
001111100011,1
011111111101,0
010010010010,0
101010100100,1
010110010011,0
000011001000,1
000111100101,0
101000111101,1
000100100101,0
101111001110,0
111010001010,0
011000011000,0
010001101010,1
101110001001,0
010110101101,1
110001011110,1
110001000111,0
000000111101,1
010000110110,1
111001001010,0
000011000011,0
011000011110,0
000111110110,1
100100000110,0
111100111011,1
011000010100,0
111110100010,1
100000110101,1
000100000101,1
010101010000,0
011000111101,1
010110001101,0
000111110011,1
111101101111,0
101101110001,1
101111111101,0
010100100110,1
010110000100,0
101100101011,1
110100110110,1
111001000011,0
001111101000,0
011010011111,0
011110101100,1
111111000011,0
101001100111,1
011011011010,1
010111101001,1
010011111101,0
010110000100,0
000111111111,1
001010101010,1
010011111011,0
010010101001,1
101000010011,1
100000101101,1
110101001010,0
111001110001,1
011101001101,1
111011110111,0
001001001010,0
011110100111,0
111100101111,1
010111001100,0
010110000000,1
001111001110,1
000101010100,0
100101101111,0
001010001010,0
100111010001,0
000111111101,0
110010010101,0
110110101100,1
011110100000,1
010011000101,1
100010010101,1
010001110100,1
010010111011,1
101001101000,1
110110000111,1
001000001010,1
010101110101,1
101001001110,0
110000010000,1
111010001000,1
100101100101,0
110001100101,0
000100001000,0
010011100100,1
010111011011,0
101001000001,0
111000001101,0
001100011000,0
111001011101,0
101110110111,1
110000010110,1
111101001010,1
101001000101,1
011100001011,0
101011100011,1
010111000101,0
