sequence,label
BAAAABAAABBBBABABAABABAABABBBAABBBBBAAAAAABBBBBBBA,B
BBAABBBAAABAABBBABBBAABBBBABAAABABABAAABBABBAAAABA,B
BBBAABABAABBBBABBAAABAAABBAAAABBAAAABABBBBABBBABBB,B
ABBBBAABBBAABAABABAAAAAABBBABABBAAAAAABABABBBABABA,A
BABAABAABBABAABABBBBBABAAAABBBBBABAABBBBBAAAABAABA,B
BBBBBBBBAABBABABBAABBBABBAABBABABAABBBAAAAAABBBAAB,B
ABBAABBAABBABABBBBABABBABABAABABBBABABBAAABAAABBAB,A
AAABBBAABBABABBAAAAABBABBABBBBBBBAABAABAABBABBBAAA,A
ABBABABABAAAAABBBBBAABAAABBBBAAAABABAAAABAABBBBBBB,A
AABBBAAAAAAAAABAAABABBAAAABBBABBBBAABBAAABBBBABABA,A
BABABBAABABAAAABBABAAAAABBBABAAABBBAABAAAAAAABABBA,B
ABAAABAAAAAAABAABBBAAAAABBAAAAAABAABBAAABAAAAAABAB,A
AAAABBBBBBBBBAABBBAABAABBBBBBAABBBBAABABBBAAAAAABA,A
AABBABBBBBABAABBBABBBAAAABBAABAABBAABBABBABBAAAAAA,A
BBBAAABBABBABABBBABABBBAABBBABABBBBBABBABABBBAAAAB,B
BBABBBBAABABABAABAAAABAAAABBAAABBBBBBABBBABBAABBBA,B
ABBBBBAABBABABAABABAABBAAABBABBAABBABAAAAABAAABBAB,A
AAAABBBABABABBABBBBAABBBBBBBAABABBAABAAABAAAABAAAB,A
BBAABAABABAAABBAAAABBBABABAAABAABBAAABABAAAABBABAA,B
BBBABBBAAAABBBBBBBABABAABBBABBBABBBAABABABAAABBABA,B
ABABBAAAABBABBABAAAABAAAABAAAAAAABBABABABBAAABAAAA,A
AABBABBBBABBABBBABABAABABBABABBBAAABABAABBABAABBBB,A
BAAAAABBAABBABBABAAAABBAAABBBBAABBBBBABABBBABBBBBB,B
ABABAAABAAABBBAABAABBBBAABAABABBABBBAAABBBAABABABB,A
AAAABBBBBBBAABBBBBABBBABBBAABAABBBABBABAABABABAAAB,A
BBABBAABAABBBBBBABBABBBAABABAAAAABBBBABAABAABBABBB,B
ABAABBBBBAABABAABABABBAAAABAAABBABBAABBBBABAABAABA,A
ABABAABAABBABABBBBBAAAABBBBBBBBBAABAAABAAABBABAABA,A
BBAAAAAABBBABBAAABBBAAAAAAAABAAABBBBBAAAABBBAABABA,B
AAAABBBBBAABABBBBBABABBAABBBBAAABBBABBBAABBBAABABA,A
AABABAABAAABAABAAABBBAABBBABABAAAAABABBABABABABABB,A
AABAAABABABBBAAAABBBBAABABBBBBBBAABBABAAAAABABBAAB,A
ABBABABBAAABAAAAABAABBBBABAAAAABABBABBBAAABABBABBB,A
BBABBBAABABABBAAAABBAABABBBBBBABAAABBABAAABAABBAAA,B
AAABBBBAABABBAAABBBBAAAAABBBABAAABAABBBBABAAABAAAA,A
BABBBAAAAAABBABBBABBBAABBBBABAAABAABAABBABAABAABBA,B
