sequence,answer
C2D0F3E2E,2
A4F8E3C3F,8
C5E5F9B8B,8
B1F8C6D1B,1
B9E8A6D4A,6
B1E9A6F8B,1
C1B5A2E9E,9
F7A4C0E2C,0
C5F1D0E6F,1
A3B5E9D3E,9
B1C5D4E3B,1
A2F0E6B0F,0
F8D4B9A6A,6
A9D2C5B0A,9
F3B9D4E2F,3
C5F4A3E4E,4
E1D4A9C1A,9
C3D0A5B2A,5
C9B9D1E4E,4
A1D8E4C8C,8
C5D0E7A2C,5
D3E3C9A8C,9
B4F2A9C1A,9
C5D8E4F9F,9
D4E1F5B5B,5
B7C1E6D9D,9
B0C4A2D2D,2
C4A1D5E4D,5
A6B4D6F0A,6
F8A8D7C8F,8
C5D8F9E2C,5
C2F9A1D9A,1
D6B0F0A4B,0
D6B2F6E2D,6
D9A9B8C0D,9
D6E1F7B3E,1
C7E7B8D4C,7
B0E4D6C0D,6
F7E3C8D4D,4
A2B1F5D6D,6
C6A5B1F5A,5
C3A3D3E6D,3
E4D5B0A3A,3
D7E9B1C5D,7
C2A8F3D7D,7
E8F8C3B3C,3
E8A8D6B3A,8
C1A2B2D7B,2
F1C0A7D4A,7
A8C0F7E6C,0
A7C3E7B2C,3
C8E4A5B1E,4
A8C2D9E3C,2
A1C3E7F9F,9
E9A1B1D1E,9
B1C4E9F7B,1
A0C1F3D3C,1
F9C2B8E2E,2
C1A4B0E9B,0
C4A9B1E1B,1
E5B7C6D4C,6
B1F2E1C3B,1
E9D8F2B7F,2
C3D3B5F9C,3
A7B7E8C9C,9
C7D3F3B3C,7
A5F9E3D8D,8
D9E3B5A4A,4
A6E8C9B2E,8
F3B4E6A4F,3
E7C7F0A6A,6
F5B9E7C9F,5
F0D9E4C1E,4
D2A0C1F2F,2
B7A1D5C4C,4
B6D6E6A4D,6
F3C4B4A0A,0
F3D3A8C0C,0
D3B8C8E2C,8
C5B3E4D1C,5
F9E5D3B3E,5
B8C8E3D3C,8
D0A2B8C2A,2
A8B4D8F1B,4
C5E3D2F5E,3
C7F5B8E4F,5
D6F3A3E2A,3
F6E1B2C0C,0
D0E6F4B9B,9
C3E7F7B3E,7
C7F3D7B0F,3
E1C3B4A2B,4
E2F8B9A2E,2
A0C1D4F1A,0
B6E1A4D8E,1
D8B5A6E3D,8
A2D1E9C0C,0
B8F6A9D9D,9
C5B1D9F8D,9
D7E2C6B5E,2
F0E4D1C5F,0
B2A4C8E7C,8
C7A9B2D0C,7
D2E7A9F7E,7
C1A9E5D3C,1
C2F7B7A8B,7
C8E9D2B7B,7
B7E1D6C1E,1
D2A9F7B4A,9
A2C6F3B5A,2
D0A7B4C4D,0
C5F5B5E5C,5
B8E3A0F8A,0
D5E2F3B5B,5
F4C9B4A7A,7
A1C1B0E0B,0
A3F6D5C6C,6
A1C4D5E7C,4
A1D8C5F8C,5
A5C4B6F1B,6
A1D3F2E7A,1
F3D6B1A4D,6
D4E9B5A5B,5
B9E7D7A8B,9
D0B4E8F5D,0
E1F4D1B1F,4
E4A2C3B4C,3
E7A7C2B2A,7
C9D3E3B0E,3
C6B7D9A6C,6
C9E1B6F2C,9
F3D0A9E9F,3
D5E9B4F8B,4
B1C9F8E3C,9
D2F2E4B3B,3
B4C7E3D2D,2
C4F7B1A1C,4
F8C5A2D5F,8
B3D4F3C3F,3
A7C3B2F4B,2
B2D6A3C8A,3
D0A5E9C3D,0
F2B4D6C0C,0
B6E2D7A2E,2
E5A1B0D7E,5
B9A9C4E9B,9
C9A6B8E1B,8
E2B9C0A1E,2
B9A4C3D5A,4
D5A6F6E0D,5
C8B9D6E6D,6
F1E3A6D8D,8
F0D2C8B3B,3
C3E3A5F3C,3
F5B6E8C8C,8
B5C1D0F1B,5
F5D1B5E6D,1
B1D3F4C6C,6
E2C4D8F4E,2
E9B3F5C2E,9
A2F7B0D7B,0
E6B9C1D5D,5
A8C7D2E5E,5
B6F2D9E5B,6
A3E8F0D5E,8
C9B4F9A1A,1
D2F6E8B2B,2
C5D9A2B5C,5
B1A9E0F2A,9
E4C1A4B6E,4
C4B7D9F9C,4
C3B7F5E3E,3
C9E2B0A7E,2
D2A9B0C5A,9
F8C5B8A4B,8
E4D8A8B4D,8
A7C5D7E8C,5
C4E8D7F5C,4
E8C6D4F1C,6
E6B8C4F6F,6
D6F4A0C9F,4
E3D6A3F8A,3
E5D4A0F8D,4
A6F2C2D2D,2
B1E3C7F5E,3
E5D7F7A1A,1
A4D0E7B7A,4
A7D0F8B4A,7
E3B6A5C4A,5
F3E8A8D2A,8
F2E7C0B0E,7
D4F4B3E5B,3
F4B2C6A8A,8
C4A0F9D5A,0
D8B1A6E5A,6
E9B7C8A2B,7
F1A4D4B7F,1
C8B2D1A6B,2
D5B3C9F1B,3
B9D0C0E0B,9
E9A4F8C8C,8
A9D3F7B5A,9
C7B6F8D9D,9
C1A6E3B7B,7
A2C3E9D7D,7
B9E3A1F2B,9
C7F0A0D9C,7
E7A8D6B8D,6
B1A9E5C6B,1
B5C7D7E2E,2
C7E7B9F4C,7
A5B6F6D4D,4
C4B5F4D7B,5
E1F4A4B5F,4
F6E1D9C8E,1
A9F7C1E0E,0
B8E6D3C7D,3
A2D7E0B9B,9
D6B5F0A2F,0
A2F8D7C1F,8
C5B7F6A2A,2
D2F5A6B4F,5
B6E0C6D3C,6
C6A0E4B3E,4
A3E2B0C9B,0
D6E6F1C2C,2
B1A2C3D9A,2
B7E6F1C2F,1
F7B9E1D9B,9
E8F7D9A7D,9
C6F0D9B9F,0
B4F9E7A1B,4
E1F2C4A6C,4
F2E1A8C5C,5
F1E9D8A8D,8
A2C6F6E2F,6
D4A7B3F9A,7
B9E3C2D1C,2
C0A7E7B7B,7
C3F4D5E7C,3
F3B3A2D9D,9
B6A7E4F8B,6
B4F1A9D5A,9
A5E9B1D6A,5
F1D7C6E2D,7
A7F6B4E8B,4
F7B4E0A4B,4
E2F4B9A5B,9
A3D5E4C1D,5
F2B3A4E5A,4
C1E3B3F7E,3
F0D1E2C2C,2
A3B9F6D3D,3
B1E6A8F8A,8
A7B5D6E5A,7
C4D0E1B8B,8
E0B9D2A6E,0
C3D3B3A6A,6
A5B4F4E8B,4
C8B6E3F8C,8
E8A9D7B6B,6
F2D6B4C5D,6
E1F6B3D7F,6
D7F0E6B8F,0
F2A2E0B3A,2
D2C0E8B0B,0
C8D7A7B6A,7
B3C5A0D7C,5
A3C7F3B1F,3
F5B4D4C2D,4
D6B7C7F8D,6
F1C3B3E7F,1
C1B0E6F1F,1
D4A3B1F0B,1
C6E7B2D5B,2
F9E6B5C7E,6
E2B1F2D5B,1
D4C2B2E7D,4
C3E4B0D8D,8
B3E7D1A9D,1
D0A6E2C0E,2
C8F0D0B8F,0
E0B2C4F0C,4
E7D8A1F4F,4
F2A2E0B3E,0
C4B1D4A3B,1
B2C9A2E9B,2
F5D7A3E2F,5
C9B4E8D8B,4
D9F3C0B7D,9
D9E8F4C8F,4
F3D6A8E5E,5
D0E7A4F2D,0
F2E5A0D9E,5
F3B3E8A3A,3
B6C1E3F4F,4
D8E0C6F8D,8
D3B0E1C6D,3
E4B4F9A2E,4
F9B0C8E1F,9
D3F5E3C0D,3
F8B8E3C4E,3
C9A1F3B2F,3
D1B0E7C8C,8
D9A3F2E8F,2
A7F1D7B8A,7
D8F6C8B7C,8
C3B2A8F4F,4
D7F7B6A7F,7
A1D4C9E2E,2
F1A8D8B0A,8
E0B9C8A8C,8
F8B3A3D3B,3
B3A3C1E4E,4
F3D1B7E5D,1
E8C9D2F2D,2
F4A6D2C3C,3
F0B8A5D0A,5
E3F4D5B2D,5
F9D8E0A1A,1
E4B5A8C2E,4
B2D9E8C0B,2
F8D3B8A6D,3
A7D2F8C1D,2
F7D8A3E7A,3
D7F7A1B3F,7
A5D4B3F6D,4
B1F7C3A7B,1
E9C3B8F5B,8
C2A1E5D3D,3
F3C1E8D7F,3
E9A6B0C6A,6
F3C2E2D4D,4
F4A4B9D4B,9
D6B7E3C1D,6
E7B5F0A4A,4
A5F1D8B1D,8
A3E7C0F7A,3
D1F4E0B8B,8
D2E9B4F6F,6
B5F4E3A2B,5
B0D2E7A2E,7
A6B1E3F6F,6
C6D1A0E1C,6
B7A0D6F3B,7
F4E6A1C5F,4
C3F2D2E5D,2
C9B2F9A3B,2
E2F7C6A8A,8
A8D6F7C9A,8
C5D3E6B2D,3
D5F8C0A3D,5
E5B3C5D2C,5
B4F8C6A5B,4
F8E5C7A5C,7
E8C6B5A2B,5
A4C1B3F8C,1
C2A1B7D6A,1
C7F3E3B0B,0
D6B5C8F7C,8
C8A1E1B0C,8
A9D3C3E6E,6
F0B1D0C1D,0
C9B8F2D2D,2
D7B0A7E8E,8
A8B5C9D0A,8
E1B9C5D6B,9
A7E3F0C8E,3
D9A0B9C4C,4
B1C8E4A0A,0
C9E8A9D6A,9
C4D9E3A8C,4
F9D3B0A7B,0
A2C1D6B4D,6
A8F2E5C6E,5
B8E4F2D0D,0
E1D3B7A4E,1
B0C4F3D6D,6
D0C0E6F3E,6
D0F5C7E8C,7
A0E8B7C1E,8
E0A4D7B5D,7
A3F1D8B4F,1
B0C8A7D4C,8
D2C9A1B8A,1
E2A2B9C5B,9
C2F3E0B8F,3
C6A9F4E3C,6
F9D7C9A5A,5
E6F8C1D5C,1
A3B2F6D2D,2
F6D9E9A4A,4
B2F8A1C2C,2
C2A7E2B6B,6
F2D9C9A5A,5
F7E4A2C4F,7
C8B6E6A2E,6
B9A2E4C1C,1
A6D4F3B2D,4
C7F9A6B9B,9
A9B8D4E6A,9
C8F1E4D6F,1
D3F0E2B7D,3
B8F3D3E0F,3
B2D6A2C4A,2
F4E1A6D7F,4
E8C8B7D6E,8
D1C2F4E3F,4
E8D1F5B9F,5
B8D2C8F3D,2
C8B7F1E1F,1
B4C4A2D4B,4
C1A3D6B6A,3
D2C4F0A3A,3
F7D2A6C8D,2
F4B8C5E0F,4
A8B6F6D7F,6
A8B2C9F4A,8
F6D8E8A5E,8
F6B9D2C4D,2
E4B3D9A2D,9
E7D3A9B3A,9
A8B0C6D1B,0
C6B9F5D1B,9
A2B8E0C2A,2
C8D8A9F6F,6
F2B3E6A1B,3
F2B2D8A0D,8
F8C4A7B7A,7
D6B0C2F3C,2
B8D4F4E0E,0
A8E8D4F9A,8
E4D6B4A5E,4
F3D4E4A7A,7
C9D3E0F4D,3
D1A1C0E0E,0
C2D6E9B3D,6
B4E6A8F5B,4
C7E2A4F1A,4
C9D4A3B8B,8
F2B5A3E2B,5
C0D1B2F5F,5
A7E0D3F7E,0
C0D8B0F4F,4
C8A4B5E7C,8
E9F4B4D4E,9
F2D7E1B4E,1
F9C2A3B7A,3
A1E7C1D9E,7
F1E9B6D9B,6
E5C1F7D0E,5
D5E7F2A6E,7
A2B0F8D0F,8
B9F7A6D9D,9
E0C7B4A9B,4
E9A5D3C8A,5
D4C0E3A9C,0
D8E2C9A7D,8
B0F3E6A7F,3
A0F4C8B3C,8
B6A3D3E1A,3
E8F3B6A9B,6
C7F5B1E8F,5
D9A1C5E7D,9
D8F1A4E8D,8
E8C0B0A2E,8
A8D1F9C3C,3
C5D1F9A3C,5
F2B3C2A1F,2
F7B4D6A5A,5
A6F0B8C6F,0
D5C2A0B3D,5
C2F7A1B6A,1
B7F3E5C4E,5
F9C2E9D5D,5
C2D2E6A8C,2
C4F9B2A8A,8
B5C9D0F2B,5
B6C4A4D1C,4
E2C1A3D7D,7
A6E6F8C0A,6
E9D9C2F0F,0
F8A4D8C6D,8
A9E0C6D7E,0
D8C1B6E0C,1
F4C4A0E8F,4
B5D1E9A2A,2
E5C2F6D7C,2
E3F6C7B5C,7
E9A4C6F3C,6
E0D5F5B6D,5
E9D0A6B7E,9
D7B0E9C2D,7
E3D5A3C1C,1
A4C1E8D2A,4
F4D1A1C0A,1
A6E7C6F5E,7
A2F9C3D2C,3
A7B2F7D6B,2
F6B2D4A4A,4
A8F4E9B1A,8
B9D8E5C3E,5
A3B7C3D0D,0
C3E0B8F9C,3
C5F6D4A2F,6
